beds,baths,sq__ft,sale_date,price
3,2,1266,Wed May 21 00:00:00 EDT 2008,198000
4,2,1715,Wed May 21 00:00:00 EDT 2008,199500
3,2,1820,Wed May 21 00:00:00 EDT 2008,200000
3,1,936,Wed May 21 00:00:00 EDT 2008,200000
0,0,0,Wed May 21 00:00:00 EDT 2008,206000
3,2,1511,Wed May 21 00:00:00 EDT 2008,208000
4,2,1590,Wed May 21 00:00:00 EDT 2008,212864
4,2,1596,Wed May 21 00:00:00 EDT 2008,221000
2,2,1341,Wed May 21 00:00:00 EDT 2008,221000
5,3,2136,Wed May 21 00:00:00 EDT 2008,223058
4,2,1616,Wed May 21 00:00:00 EDT 2008,227887
3,2,1478,Wed May 21 00:00:00 EDT 2008,231477
3,2,1287,Wed May 21 00:00:00 EDT 2008,234697
4,2,1277,Wed May 21 00:00:00 EDT 2008,235000
4,2,1448,Wed May 21 00:00:00 EDT 2008,236000
4,3,2235,Wed May 21 00:00:00 EDT 2008,236685
3,2,2093,Wed May 21 00:00:00 EDT 2008,237800
3,2,1193,Wed May 21 00:00:00 EDT 2008,240122
3,2,2163,Wed May 21 00:00:00 EDT 2008,242638
3,2,1269,Wed May 21 00:00:00 EDT 2008,244000
0,0,0,Wed May 21 00:00:00 EDT 2008,244500
3,1,958,Wed May 21 00:00:00 EDT 2008,244960
5,3,2508,Wed May 21 00:00:00 EDT 2008,245918
3,2,1305,Wed May 21 00:00:00 EDT 2008,250000
4,2,1591,Wed May 21 00:00:00 EDT 2008,250000
2,2,1326,Wed May 21 00:00:00 EDT 2008,250134
3,2,1843,Wed May 21 00:00:00 EDT 2008,254200
4,2,1921,Wed May 21 00:00:00 EDT 2008,254200
5,3,2790,Wed May 21 00:00:00 EDT 2008,258000
3,2,1541,Wed May 21 00:00:00 EDT 2008,260000
3,1,1018,Wed May 21 00:00:00 EDT 2008,260014
0,0,0,Wed May 21 00:00:00 EDT 2008,263500
3,2,1672,Wed May 21 00:00:00 EDT 2008,265000
3,2,1380,Wed May 21 00:00:00 EDT 2008,265000
3,1,975,Wed May 21 00:00:00 EDT 2008,271742
4,3,2372,Wed May 21 00:00:00 EDT 2008,273750
3,2,1446,Wed May 21 00:00:00 EDT 2008,275086
2,2,1284,Wed May 21 00:00:00 EDT 2008,280908
4,3,3009,Wed May 21 00:00:00 EDT 2008,280987
8,4,3612,Wed May 21 00:00:00 EDT 2008,282400
4,2,2056,Wed May 21 00:00:00 EDT 2008,285000
4,2,1993,Wed May 21 00:00:00 EDT 2008,287417
3,2,1857,Wed May 21 00:00:00 EDT 2008,291000
2,1,1126,Wed May 21 00:00:00 EDT 2008,292024
4,4,2213,Wed May 21 00:00:00 EDT 2008,297000
5,3,2494,Wed May 21 00:00:00 EDT 2008,297000
3,2,1843,Wed May 21 00:00:00 EDT 2008,298000
2,2,1520,Wed May 21 00:00:00 EDT 2008,299000
5,3,2800,Wed May 21 00:00:00 EDT 2008,304037
4,2,2309,Wed May 21 00:00:00 EDT 2008,311000
5,3,2367,Wed May 21 00:00:00 EDT 2008,315537
5,4,3516,Wed May 21 00:00:00 EDT 2008,320000
0,0,0,Wed May 21 00:00:00 EDT 2008,320000
4,3,1914,Wed May 21 00:00:00 EDT 2008,328360
2,1,1690,Wed May 21 00:00:00 EDT 2008,334150
3,3,2725,Wed May 21 00:00:00 EDT 2008,335750
4,3,2354,Wed May 21 00:00:00 EDT 2008,335750
0,0,0,Wed May 21 00:00:00 EDT 2008,339500
3,2,2185,Wed May 21 00:00:00 EDT 2008,344250
4,2,1801,Wed May 21 00:00:00 EDT 2008,346210
3,3,1961,Wed May 21 00:00:00 EDT 2008,347029
4,2,3134,Wed May 21 00:00:00 EDT 2008,347650
4,3,1915,Wed May 21 00:00:00 EDT 2008,351300
3,2,0,Wed May 21 00:00:00 EDT 2008,352000
0,0,0,Wed May 21 00:00:00 EDT 2008,370000
4,3,2734,Wed May 21 00:00:00 EDT 2008,370500
3,2,2110,Wed May 21 00:00:00 EDT 2008,372000
5,3,3164,Wed May 21 00:00:00 EDT 2008,375000
5,3,3599,Wed May 21 00:00:00 EDT 2008,381300
4,2,2054,Wed May 21 00:00:00 EDT 2008,381942
4,2,1830,Wed May 21 00:00:00 EDT 2008,387731
3,3,1627,Wed May 21 00:00:00 EDT 2008,391000
4,3,3440,Wed May 21 00:00:00 EDT 2008,394470
3,2,2846,Wed May 21 00:00:00 EDT 2008,395000
4,3,2359,Wed May 21 00:00:00 EDT 2008,400186
3,3,2052,Wed May 21 00:00:00 EDT 2008,415000
5,3,3433,Wed May 21 00:00:00 EDT 2008,425000
5,3,3615,Wed May 21 00:00:00 EDT 2008,430000
0,0,0,Wed May 21 00:00:00 EDT 2008,445000
5,3,2687,Wed May 21 00:00:00 EDT 2008,460000
4,3,2724,Wed May 21 00:00:00 EDT 2008,461000
4,3,3440,Wed May 21 00:00:00 EDT 2008,489332
5,4,3508,Wed May 21 00:00:00 EDT 2008,510000
4,2,2462,Wed May 21 00:00:00 EDT 2008,539000
0,0,0,Wed May 21 00:00:00 EDT 2008,585000
4,3,0,Wed May 21 00:00:00 EDT 2008,600000
4,3,0,Wed May 21 00:00:00 EDT 2008,606238
3,3,2325,Wed May 21 00:00:00 EDT 2008,660000
6,5,0,Wed May 21 00:00:00 EDT 2008,830000
2,1,795,Tue May 20 00:00:00 EDT 2008,69000
4,2,1099,Tue May 20 00:00:00 EDT 2008,70000
2,1,840,Tue May 20 00:00:00 EDT 2008,71000
2,1,800,Tue May 20 00:00:00 EDT 2008,78000
2,1,746,Tue May 20 00:00:00 EDT 2008,78400
3,1,1067,Tue May 20 00:00:00 EDT 2008,80000
4,2,1316,Tue May 20 00:00:00 EDT 2008,89000
3,1,1337,Tue May 20 00:00:00 EDT 2008,90000
2,1,868,Tue May 20 00:00:00 EDT 2008,90000
3,1,924,Tue May 20 00:00:00 EDT 2008,92000
2,1,610,Tue May 20 00:00:00 EDT 2008,93675
0,0,0,Tue May 20 00:00:00 EDT 2008,97750
2,1,1220,Tue May 20 00:00:00 EDT 2008,98000
1,1,722,Tue May 20 00:00:00 EDT 2008,98000
3,1,1643,Tue May 20 00:00:00 EDT 2008,99000
1,1,722,Tue May 20 00:00:00 EDT 2008,100000
3,1,1080,Tue May 20 00:00:00 EDT 2008,106716
3,1,1039,Tue May 20 00:00:00 EDT 2008,111000
3,1,1051,Tue May 20 00:00:00 EDT 2008,111000
2,2,967,Tue May 20 00:00:00 EDT 2008,114800
3,1,1098,Tue May 20 00:00:00 EDT 2008,120108
3,1,1050,Tue May 20 00:00:00 EDT 2008,123225
3,2,1110,Tue May 20 00:00:00 EDT 2008,123750
3,1,888,Tue May 20 00:00:00 EDT 2008,125000
3,2,1120,Tue May 20 00:00:00 EDT 2008,125000
3,2,1080,Tue May 20 00:00:00 EDT 2008,126000
3,1,957,Tue May 20 00:00:00 EDT 2008,129000
2,1,952,Tue May 20 00:00:00 EDT 2008,134000
3,2,1211,Tue May 20 00:00:00 EDT 2008,135000
3,2,1264,Tue May 20 00:00:00 EDT 2008,135500
3,1,1080,Tue May 20 00:00:00 EDT 2008,140000
3,2,1266,Tue May 20 00:00:00 EDT 2008,140000
2,2,994,Tue May 20 00:00:00 EDT 2008,142500
3,2,1202,Tue May 20 00:00:00 EDT 2008,143500
0,0,0,Tue May 20 00:00:00 EDT 2008,145000
2,1,722,Tue May 20 00:00:00 EDT 2008,145000
4,2,1448,Tue May 20 00:00:00 EDT 2008,145000
3,2,1188,Tue May 20 00:00:00 EDT 2008,145000
4,2,1183,Tue May 20 00:00:00 EDT 2008,146000
3,1,1320,Tue May 20 00:00:00 EDT 2008,148500
3,2,1117,Tue May 20 00:00:00 EDT 2008,149000
3,2,1364,Tue May 20 00:00:00 EDT 2008,150000
4,2,1310,Tue May 20 00:00:00 EDT 2008,150000
2,2,1006,Tue May 20 00:00:00 EDT 2008,152000
3,2,1104,Tue May 20 00:00:00 EDT 2008,156000
2,1,810,Tue May 20 00:00:00 EDT 2008,156000
2,2,1123,Tue May 20 00:00:00 EDT 2008,156000
2,1,904,Tue May 20 00:00:00 EDT 2008,157788
3,2,1156,Tue May 20 00:00:00 EDT 2008,161653
2,1,1321,Tue May 20 00:00:00 EDT 2008,161829
3,2,1392,Tue May 20 00:00:00 EDT 2008,165000
3,2,1439,Tue May 20 00:00:00 EDT 2008,168000
3,2,1159,Tue May 20 00:00:00 EDT 2008,169000
3,2,1671,Tue May 20 00:00:00 EDT 2008,175000
3,2,1740,Tue May 20 00:00:00 EDT 2008,176250
3,2,1265,Tue May 20 00:00:00 EDT 2008,179000
2,2,1007,Tue May 20 00:00:00 EDT 2008,180000
3,2,1716,Tue May 20 00:00:00 EDT 2008,180400
4,2,1685,Tue May 20 00:00:00 EDT 2008,182000
4,2,1829,Tue May 20 00:00:00 EDT 2008,184500
3,2,1555,Tue May 20 00:00:00 EDT 2008,185000
4,2,1120,Tue May 20 00:00:00 EDT 2008,189000
3,2,1137,Tue May 20 00:00:00 EDT 2008,194000
3,1,1174,Tue May 20 00:00:00 EDT 2008,195000
3,2,1393,Tue May 20 00:00:00 EDT 2008,200000
3,1,0,Tue May 20 00:00:00 EDT 2008,201000
4,2,0,Tue May 20 00:00:00 EDT 2008,202500
3,2,1289,Tue May 20 00:00:00 EDT 2008,205000
4,2,1799,Tue May 20 00:00:00 EDT 2008,205000
3,2,0,Tue May 20 00:00:00 EDT 2008,205000
4,3,1953,Tue May 20 00:00:00 EDT 2008,205000
2,1,723,Tue May 20 00:00:00 EDT 2008,207000
2,2,0,Tue May 20 00:00:00 EDT 2008,210000
2,1,948,Tue May 20 00:00:00 EDT 2008,211500
4,2,1578,Tue May 20 00:00:00 EDT 2008,215000
3,2,1317,Tue May 20 00:00:00 EDT 2008,215000
0,0,0,Tue May 20 00:00:00 EDT 2008,215500
3,1,1360,Tue May 20 00:00:00 EDT 2008,222381
0,0,0,Tue May 20 00:00:00 EDT 2008,225000
3,2,1522,Tue May 20 00:00:00 EDT 2008,225000
4,2,1751,Tue May 20 00:00:00 EDT 2008,225000
3,2,1465,Tue May 20 00:00:00 EDT 2008,225000
4,2,1605,Tue May 20 00:00:00 EDT 2008,228000
4,2,1475,Tue May 20 00:00:00 EDT 2008,229665
3,1,1216,Tue May 20 00:00:00 EDT 2008,230000
2,2,1315,Tue May 20 00:00:00 EDT 2008,230000
3,2,1567,Tue May 20 00:00:00 EDT 2008,230000
3,2,1776,Tue May 20 00:00:00 EDT 2008,234000
3,2,2187,Tue May 20 00:00:00 EDT 2008,235000
3,1,1291,Tue May 20 00:00:00 EDT 2008,236250
0,0,0,Tue May 20 00:00:00 EDT 2008,240000
0,0,0,Tue May 20 00:00:00 EDT 2008,242000
3,2,1503,Tue May 20 00:00:00 EDT 2008,245000
4,3,2491,Tue May 20 00:00:00 EDT 2008,245000
2,1,1269,Tue May 20 00:00:00 EDT 2008,245000
0,0,0,Tue May 20 00:00:00 EDT 2008,250000
3,2,1176,Tue May 20 00:00:00 EDT 2008,250000
4,2,1456,Tue May 20 00:00:00 EDT 2008,250000
3,2,1498,Tue May 20 00:00:00 EDT 2008,250000
3,2,1574,Tue May 20 00:00:00 EDT 2008,255000
5,4,2085,Tue May 20 00:00:00 EDT 2008,256054
3,2,2170,Tue May 20 00:00:00 EDT 2008,257729
4,2,1595,Tue May 20 00:00:00 EDT 2008,260000
3,2,1567,Tue May 20 00:00:00 EDT 2008,261000
4,2,0,Tue May 20 00:00:00 EDT 2008,261800
4,2,1253,Tue May 20 00:00:00 EDT 2008,264469
4,3,1768,Tue May 20 00:00:00 EDT 2008,265000
0,0,0,Tue May 20 00:00:00 EDT 2008,270000
4,3,2030,Tue May 20 00:00:00 EDT 2008,270000
3,2,1531,Tue May 20 00:00:00 EDT 2008,270000
0,0,0,Tue May 20 00:00:00 EDT 2008,270000
4,3,1653,Tue May 20 00:00:00 EDT 2008,275000
4,2,2056,Tue May 20 00:00:00 EDT 2008,275000
4,3,2494,Tue May 20 00:00:00 EDT 2008,280000
3,2,1450,Tue May 20 00:00:00 EDT 2008,286013
4,2,2169,Tue May 20 00:00:00 EDT 2008,292000
3,2,1440,Tue May 20 00:00:00 EDT 2008,292000
3,2,1527,Tue May 20 00:00:00 EDT 2008,293993
3,2,1401,Tue May 20 00:00:00 EDT 2008,294000
3,2,1411,Tue May 20 00:00:00 EDT 2008,296769
4,4,0,Tue May 20 00:00:00 EDT 2008,297500
0,0,0,Tue May 20 00:00:00 EDT 2008,300000
3,1,1284,Tue May 20 00:00:00 EDT 2008,300000
4,3,2307,Tue May 20 00:00:00 EDT 2008,300000
3,2,1329,Tue May 20 00:00:00 EDT 2008,300000
4,2,1910,Tue May 20 00:00:00 EDT 2008,300500
3,2,1981,Tue May 20 00:00:00 EDT 2008,305000
0,0,0,Tue May 20 00:00:00 EDT 2008,306500
0,0,0,Tue May 20 00:00:00 EDT 2008,312500
5,3,0,Tue May 20 00:00:00 EDT 2008,315000
4,2,2205,Tue May 20 00:00:00 EDT 2008,319789
2,2,1449,Tue May 20 00:00:00 EDT 2008,330000
3,2,1258,Tue May 20 00:00:00 EDT 2008,330000
3,2,2575,Tue May 20 00:00:00 EDT 2008,331000
2,1,539,Tue May 20 00:00:00 EDT 2008,334000
4,3,2208,Tue May 20 00:00:00 EDT 2008,336000
3,1,1108,Tue May 20 00:00:00 EDT 2008,339000
4,2,1595,Tue May 20 00:00:00 EDT 2008,339000
4,2,2159,Tue May 20 00:00:00 EDT 2008,345000
4,3,2295,Tue May 20 00:00:00 EDT 2008,350000
3,2,1838,Tue May 20 00:00:00 EDT 2008,356000
4,2,1900,Tue May 20 00:00:00 EDT 2008,361745
4,2,1718,Tue May 20 00:00:00 EDT 2008,361948
5,3,3389,Tue May 20 00:00:00 EDT 2008,370000
4,2,0,Tue May 20 00:00:00 EDT 2008,380000
5,4,3260,Tue May 20 00:00:00 EDT 2008,385000
3,2,2016,Tue May 20 00:00:00 EDT 2008,399000
4,2,2607,Tue May 20 00:00:00 EDT 2008,402000
4,3,2724,Tue May 20 00:00:00 EDT 2008,406026
5,4,3746,Tue May 20 00:00:00 EDT 2008,420000
0,0,0,Tue May 20 00:00:00 EDT 2008,425000
4,2,3192,Tue May 20 00:00:00 EDT 2008,425000
0,0,0,Tue May 20 00:00:00 EDT 2008,433500
4,3,0,Tue May 20 00:00:00 EDT 2008,436746
5,3,0,Tue May 20 00:00:00 EDT 2008,438700
2,1,1247,Tue May 20 00:00:00 EDT 2008,445000
4,2,2581,Tue May 20 00:00:00 EDT 2008,450000
3,1,2068,Tue May 20 00:00:00 EDT 2008,460000
3,2,0,Tue May 20 00:00:00 EDT 2008,460000
4,3,3992,Tue May 20 00:00:00 EDT 2008,460000
4,4,3397,Tue May 20 00:00:00 EDT 2008,465000
5,3,3881,Tue May 20 00:00:00 EDT 2008,471750
5,3,0,Tue May 20 00:00:00 EDT 2008,480000
2,2,1598,Tue May 20 00:00:00 EDT 2008,484000
4,3,1929,Tue May 20 00:00:00 EDT 2008,485000
4,3,3070,Tue May 20 00:00:00 EDT 2008,495000
0,0,0,Tue May 20 00:00:00 EDT 2008,500500
3,3,0,Tue May 20 00:00:00 EDT 2008,504000
0,0,0,Tue May 20 00:00:00 EDT 2008,541000
0,0,0,Tue May 20 00:00:00 EDT 2008,560000
5,3,3984,Tue May 20 00:00:00 EDT 2008,572500
4,2,2222,Tue May 20 00:00:00 EDT 2008,582000
4,3,3838,Tue May 20 00:00:00 EDT 2008,613401
4,2,0,Tue May 20 00:00:00 EDT 2008,614000
5,5,2846,Tue May 20 00:00:00 EDT 2008,680000
5,2,2484,Tue May 20 00:00:00 EDT 2008,699000
4,4,1624,Tue May 20 00:00:00 EDT 2008,839000
2,1,840,Mon May 19 00:00:00 EDT 2008,40000
1,1,484,Mon May 19 00:00:00 EDT 2008,48000
3,1,970,Mon May 19 00:00:00 EDT 2008,61500
2,1,623,Mon May 19 00:00:00 EDT 2008,62050
2,1,932,Mon May 19 00:00:00 EDT 2008,65000
2,1,796,Mon May 19 00:00:00 EDT 2008,65000
2,1,834,Mon May 19 00:00:00 EDT 2008,68000
2,1,834,Mon May 19 00:00:00 EDT 2008,68000
2,1,924,Mon May 19 00:00:00 EDT 2008,77000
2,1,795,Mon May 19 00:00:00 EDT 2008,82732
3,1,1250,Mon May 19 00:00:00 EDT 2008,84000
2,1,984,Mon May 19 00:00:00 EDT 2008,84675
3,1,1013,Mon May 19 00:00:00 EDT 2008,85000
3,1,1012,Mon May 19 00:00:00 EDT 2008,90000
2,1,795,Mon May 19 00:00:00 EDT 2008,90000
2,2,918,Mon May 19 00:00:00 EDT 2008,91000
3,1,1082,Mon May 19 00:00:00 EDT 2008,95000
2,1,964,Mon May 19 00:00:00 EDT 2008,97500
4,2,1404,Mon May 19 00:00:00 EDT 2008,100000
1,1,625,Mon May 19 00:00:00 EDT 2008,100000
2,1,888,Mon May 19 00:00:00 EDT 2008,101000
4,2,1120,Mon May 19 00:00:00 EDT 2008,102750
3,1,1331,Mon May 19 00:00:00 EDT 2008,112500
3,1,1014,Mon May 19 00:00:00 EDT 2008,113000
4,2,1448,Mon May 19 00:00:00 EDT 2008,114000
3,1,966,Mon May 19 00:00:00 EDT 2008,114000
2,1,779,Mon May 19 00:00:00 EDT 2008,114750
2,2,836,Mon May 19 00:00:00 EDT 2008,115000
2,2,1100,Mon May 19 00:00:00 EDT 2008,115000
3,1,1174,Mon May 19 00:00:00 EDT 2008,116100
3,2,1207,Mon May 19 00:00:00 EDT 2008,119250
4,4,1995,Mon May 19 00:00:00 EDT 2008,120000
2,1,804,Mon May 19 00:00:00 EDT 2008,120000
2,2,958,Mon May 19 00:00:00 EDT 2008,120000
3,2,1366,Mon May 19 00:00:00 EDT 2008,120108
2,2,901,Mon May 19 00:00:00 EDT 2008,121500
3,1,696,Mon May 19 00:00:00 EDT 2008,121725
3,2,1080,Mon May 19 00:00:00 EDT 2008,122000
3,2,1104,Mon May 19 00:00:00 EDT 2008,123000
2,1,972,Mon May 19 00:00:00 EDT 2008,125000
4,2,1390,Mon May 19 00:00:00 EDT 2008,125573
4,2,1354,Mon May 19 00:00:00 EDT 2008,126714
2,1,795,Mon May 19 00:00:00 EDT 2008,126960
2,1,780,Mon May 19 00:00:00 EDT 2008,127000
4,2,1587,Mon May 19 00:00:00 EDT 2008,127500
3,2,1209,Mon May 19 00:00:00 EDT 2008,130000
2,1,1139,Mon May 19 00:00:00 EDT 2008,133105
2,2,1690,Mon May 19 00:00:00 EDT 2008,136500
3,2,1245,Mon May 19 00:00:00 EDT 2008,139500
3,2,1416,Mon May 19 00:00:00 EDT 2008,140000
3,2,1300,Mon May 19 00:00:00 EDT 2008,140800
3,2,1120,Mon May 19 00:00:00 EDT 2008,145000
4,2,1590,Mon May 19 00:00:00 EDT 2008,147000
3,2,1407,Mon May 19 00:00:00 EDT 2008,149600
5,2,1516,Mon May 19 00:00:00 EDT 2008,150000
2,2,0,Mon May 19 00:00:00 EDT 2008,150000
3,2,1646,Mon May 19 00:00:00 EDT 2008,150000
3,2,1676,Mon May 19 00:00:00 EDT 2008,155000
3,2,1370,Mon May 19 00:00:00 EDT 2008,155435
3,2,1370,Mon May 19 00:00:00 EDT 2008,155500
4,2,1351,Mon May 19 00:00:00 EDT 2008,158000
3,2,1152,Mon May 19 00:00:00 EDT 2008,158000
3,2,1452,Mon May 19 00:00:00 EDT 2008,160000
2,1,990,Mon May 19 00:00:00 EDT 2008,160000
2,2,1162,Mon May 19 00:00:00 EDT 2008,164000
3,2,1182,Mon May 19 00:00:00 EDT 2008,164000
2,2,1112,Mon May 19 00:00:00 EDT 2008,165000
3,2,1100,Mon May 19 00:00:00 EDT 2008,167000
4,2,1280,Mon May 19 00:00:00 EDT 2008,167293
4,2,1280,Mon May 19 00:00:00 EDT 2008,167293
3,1,1039,Mon May 19 00:00:00 EDT 2008,168000
3,2,1159,Mon May 19 00:00:00 EDT 2008,170000
4,2,1917,Mon May 19 00:00:00 EDT 2008,170000
3,2,1520,Mon May 19 00:00:00 EDT 2008,170000
3,2,1204,Mon May 19 00:00:00 EDT 2008,174000
3,2,1120,Mon May 19 00:00:00 EDT 2008,178000
3,2,1436,Mon May 19 00:00:00 EDT 2008,180000
3,2,1451,Mon May 19 00:00:00 EDT 2008,180000
4,2,1638,Mon May 19 00:00:00 EDT 2008,180000
2,2,1000,Mon May 19 00:00:00 EDT 2008,182000
3,1,1152,Mon May 19 00:00:00 EDT 2008,188325
3,2,1154,Mon May 19 00:00:00 EDT 2008,191500
3,2,1353,Mon May 19 00:00:00 EDT 2008,192000
3,2,1329,Mon May 19 00:00:00 EDT 2008,192700
3,1,1356,Mon May 19 00:00:00 EDT 2008,195000
3,2,1505,Mon May 19 00:00:00 EDT 2008,197654
3,1,1009,Mon May 19 00:00:00 EDT 2008,198000
3,2,1144,Mon May 19 00:00:00 EDT 2008,200345
2,1,930,Mon May 19 00:00:00 EDT 2008,203000
4,2,1766,Mon May 19 00:00:00 EDT 2008,207000
4,3,1940,Mon May 19 00:00:00 EDT 2008,208000
4,2,1776,Mon May 19 00:00:00 EDT 2008,210000
3,1,1258,Mon May 19 00:00:00 EDT 2008,212000
4,2,1872,Mon May 19 00:00:00 EDT 2008,213675
2,2,1112,Mon May 19 00:00:00 EDT 2008,213697
4,2,1856,Mon May 19 00:00:00 EDT 2008,215000
4,3,1939,Mon May 19 00:00:00 EDT 2008,215000
3,1,998,Mon May 19 00:00:00 EDT 2008,215100
3,2,1758,Mon May 19 00:00:00 EDT 2008,217500
3,2,2142,Mon May 19 00:00:00 EDT 2008,218000
2,1,950,Mon May 19 00:00:00 EDT 2008,220000
4,3,1739,Mon May 19 00:00:00 EDT 2008,221000
3,2,1516,Mon May 19 00:00:00 EDT 2008,222900
3,1,988,Mon May 19 00:00:00 EDT 2008,223139
4,2,1555,Mon May 19 00:00:00 EDT 2008,225500
3,2,1212,Mon May 19 00:00:00 EDT 2008,228327
4,2,1871,Mon May 19 00:00:00 EDT 2008,230000
3,2,1302,Mon May 19 00:00:00 EDT 2008,230000
2,1,756,Mon May 19 00:00:00 EDT 2008,230522
4,3,2026,Mon May 19 00:00:00 EDT 2008,231200
3,2,1375,Mon May 19 00:00:00 EDT 2008,232000
2,2,1250,Mon May 19 00:00:00 EDT 2008,232500
3,1,1058,Mon May 19 00:00:00 EDT 2008,233641
3,2,1187,Mon May 19 00:00:00 EDT 2008,234000
2,2,1324,Mon May 19 00:00:00 EDT 2008,234500
4,3,1936,Mon May 19 00:00:00 EDT 2008,235000
5,4,2382,Mon May 19 00:00:00 EDT 2008,236000
3,2,1427,Mon May 19 00:00:00 EDT 2008,236073
3,2,1678,Mon May 19 00:00:00 EDT 2008,238000
4,2,1798,Mon May 19 00:00:00 EDT 2008,238861
4,3,2652,Mon May 19 00:00:00 EDT 2008,239700
4,2,1816,Mon May 19 00:00:00 EDT 2008,240000
5,3,3076,Mon May 19 00:00:00 EDT 2008,240000
4,2,1844,Mon May 19 00:00:00 EDT 2008,241000
3,2,1306,Mon May 19 00:00:00 EDT 2008,245000
4,3,2447,Mon May 19 00:00:00 EDT 2008,246000
4,2,1176,Mon May 19 00:00:00 EDT 2008,247234
4,2,1182,Mon May 19 00:00:00 EDT 2008,247480
3,1,1160,Mon May 19 00:00:00 EDT 2008,249862
3,2,1424,Mon May 19 00:00:00 EDT 2008,251000
4,2,1574,Mon May 19 00:00:00 EDT 2008,252155
3,2,1830,Mon May 19 00:00:00 EDT 2008,254172
4,2,1724,Mon May 19 00:00:00 EDT 2008,258000
2,2,1255,Mon May 19 00:00:00 EDT 2008,260000
