Unsaved report,,,,,,,
"January 1, 2019 - August 24, 2019",,,,,,,
Day,Currency,Clicks,Impressions,Cost,Avg. position,Conversions,Search Impr. share
3/17/2019,USD,1745.00,40629.00,3872.48,2.36,89.00,24.46%
3/18/2019,USD,1276.00,32683.00,2738.95,2.32,68.00,21.06%
3/19/2019,USD,1273.00,26532.00,2995.44,2.34,78.00,16.43%
3/20/2019,USD,1276.00,28045.00,2962.57,2.34,82.00,15.11%
3/21/2019,USD,1286.00,31464.00,3303.79,2.35,47.00,16.75%
3/22/2019,USD,1498.00,36483.00,3602.93,2.31,71.00,16.78%
3/23/2019,USD,1475.00,28570.00,3342.25,2.36,82.00,16.69%
3/24/2019,USD,1466.00,29684.00,3047.22,2.33,70.00,19.73%
3/25/2019,USD,1649.00,42855.00,3482.93,2.25,58.00,24.60%
3/26/2019,USD,1460.00,37597.00,3409.15,2.24,70.00,24.09%
3/27/2019,USD,1531.00,37219.00,3488.71,2.33,99.00,23.16%
3/28/2019,USD,1432.00,37749.00,3401.44,2.34,66.00,22.77%
3/29/2019,USD,1703.00,42285.00,3740.22,2.32,89.00,23.24%
3/30/2019,USD,1764.00,39313.00,4049.68,2.35,88.00,25.14%
3/31/2019,USD,1914.00,45695.00,4217.78,2.29,91.00,27.93%
4/1/2019,USD,1584.00,40486.00,3792.94,2.32,77.00,25.63%
4/2/2019,USD,1443.00,34216.00,3941.33,2.42,80.00,25.10%
4/3/2019,USD,1243.00,29729.00,2873.53,2.40,75.00,22.70%
4/4/2019,USD,1413.00,33468.00,3775.78,2.41,81.00,23.17%
4/5/2019,USD,1560.00,35551.00,3621.19,2.39,94.00,23.78%
4/6/2019,USD,1728.00,34111.00,3701.02,2.44,111.00,24.12%
4/7/2019,USD,1610.00,35767.00,3586.99,2.36,87.00,25.61%
4/8/2019,USD,1554.00,36310.00,3479.78,2.40,108.00,24.39%
4/9/2019,USD,1461.00,33219.00,3530.92,2.42,87.00,23.97%
4/10/2019,USD,1410.00,33907.00,3413.37,2.43,91.00,23.08%
4/11/2019,USD,1446.00,33624.00,3493.77,2.44,84.00,22.51%
4/12/2019,USD,1463.00,36471.00,3673.34,2.39,78.00,23.64%
4/13/2019,USD,1472.00,32545.00,3264.06,2.43,102.00,23.96%
4/14/2019,USD,1480.00,34057.00,3163.48,2.40,85.00,24.88%
4/15/2019,USD,1604.00,37027.00,4115.39,2.30,96.00,24.98%
4/16/2019,USD,1460.00,34860.00,4191.17,2.39,101.00,24.40%
4/17/2019,USD,1402.00,31290.00,3624.40,2.38,83.00,24.40%
4/18/2019,USD,1413.00,31402.00,4239.54,2.29,84.00,23.71%
4/19/2019,USD,1539.00,34987.00,3887.38,2.35,144.00,24.33%
4/20/2019,USD,1482.00,30850.00,3633.17,2.37,119.00,24.20%
4/21/2019,USD,1278.00,27938.00,3078.37,2.36,83.00,25.48%
4/22/2019,USD,1555.00,37580.00,4243.04,2.26,122.00,25.13%
4/23/2019,USD,1612.00,36207.00,4466.75,2.33,112.00,24.75%
4/24/2019,USD,1706.00,38680.00,4993.81,2.27,101.00,24.66%
4/25/2019,USD,1893.00,47227.00,4781.31,2.15,101.00,26.07%
4/26/2019,USD,1959.00,48247.00,5516.49,2.15,137.00,25.54%
4/27/2019,USD,2074.00,44834.00,5221.06,2.16,112.00,26.91%
4/28/2019,USD,2077.00,45459.00,4860.76,2.11,104.00,26.71%
4/29/2019,USD,1862.00,41429.00,5104.99,2.19,115.00,28.93%
4/30/2019,USD,1808.00,38182.00,5097.15,2.09,139.00,27.68%
5/1/2019,USD,1680.00,36343.00,4678.10,2.17,114.00,19.03%
5/2/2019,USD,1859.00,38454.00,5297.03,2.19,142.00,19.84%
5/3/2019,USD,1641.00,34995.00,4671.56,2.25,104.00,<10%
5/4/2019,USD,1735.00,36297.00,4573.81,2.23,116.00,<10%
5/5/2019,USD,1831.00,36333.00,4887.35,2.17,128.00,<10%
5/6/2019,USD,1805.00,39812.00,5427.28,2.22,142.00,<10%
5/7/2019,USD,2665.00,167129.00,5854.86,1.34,144.00,<10%
5/8/2019,USD,2551.00,139930.00,5646.28,1.38,143.00,<10%
5/9/2019,USD,3081.00,161692.00,6391.44,1.35,155.00,<10%
5/10/2019,USD,3136.00,156397.00,6900.64,1.38,178.00,<10%
5/11/2019,USD,3796.00,189866.00,7399.67,1.31,212.00,<10%
5/12/2019,USD,3334.00,160744.00,6552.80,1.32,242.00,<10%
5/13/2019,USD,1704.00,47780.00,4297.56,1.81,120.00,26.49%
5/14/2019,USD,1458.00,34561.00,4209.95,2.11,119.00,24.04%
5/15/2019,USD,1417.00,35236.00,4184.05,2.08,95.00,23.21%
5/16/2019,USD,1438.00,32495.00,4283.93,2.16,110.00,23.60%
5/17/2019,USD,1520.00,35915.00,4590.03,2.20,142.00,23.69%
5/18/2019,USD,1551.00,35039.00,4446.47,2.29,115.00,24.61%
5/19/2019,USD,1556.00,32999.00,3922.75,2.25,131.00,25.23%
5/20/2019,USD,1428.00,32271.00,3730.31,2.26,105.00,24.95%
5/21/2019,USD,1479.00,38349.00,4187.36,2.18,125.00,24.40%
5/22/2019,USD,1260.00,30907.00,3286.29,2.33,145.00,24.44%
5/23/2019,USD,1305.00,29474.00,3684.37,2.26,105.00,23.29%
5/24/2019,USD,1504.00,32879.00,4408.81,2.24,122.00,24.12%
5/25/2019,USD,1617.00,35554.00,4196.79,2.29,98.00,26.82%
5/26/2019,USD,1784.00,35401.00,4125.85,2.23,151.00,28.50%
5/27/2019,USD,1535.00,35128.00,3802.70,2.28,110.00,29.72%
5/28/2019,USD,1695.00,40782.00,4217.71,2.18,110.00,27.16%
5/29/2019,USD,1652.00,40995.00,3695.41,2.12,90.00,27.34%
5/30/2019,USD,1608.00,39067.00,4118.68,2.18,109.00,26.09%
5/31/2019,USD,1632.00,41599.00,4080.36,2.13,98.00,29.66%
6/1/2019,USD,1808.00,43219.00,4292.19,2.14,145.00,27.51%
6/2/2019,USD,1938.00,42960.00,4398.16,2.18,120.00,28.54%
6/3/2019,USD,1826.00,40042.00,4401.56,2.20,149.00,28.37%
6/4/2019,USD,1815.00,42545.00,4462.81,2.26,108.00,27.46%
6/5/2019,USD,1886.00,42212.00,4393.03,2.28,109.00,26.91%
6/6/2019,USD,1813.00,40901.00,5130.14,2.36,154.00,26.30%
6/7/2019,USD,1851.00,40111.00,4672.28,2.27,113.00,<10%
6/8/2019,USD,1861.00,39116.00,5191.96,2.25,119.00,<10%
6/9/2019,USD,1873.00,37008.00,4785.29,2.22,117.00,<10%
6/10/2019,USD,1809.00,38342.00,5034.50,2.31,145.00,<10%
6/11/2019,USD,1737.00,38438.00,4768.06,2.35,153.00,<10%
6/12/2019,USD,1745.00,34724.00,4719.22,2.26,138.00,<10%
6/13/2019,USD,1767.00,34875.00,4492.81,2.28,143.00,<10%
6/14/2019,USD,1953.00,35884.00,5047.78,2.33,175.00,<10%
6/15/2019,USD,2131.00,34360.00,6412.00,2.27,163.00,<10%
6/16/2019,USD,1989.00,35371.00,5038.15,2.32,173.00,<10%
6/17/2019,USD,1925.00,33961.00,5421.07,2.13,105.00,28.53%
6/18/2019,USD,1631.00,33155.00,4439.39,2.20,138.00,25.98%
6/19/2019,USD,1644.00,32259.00,4984.39,2.21,120.00,25.22%
6/20/2019,USD,1699.00,32152.00,4937.53,2.17,103.00,25.99%
6/21/2019,USD,1780.00,31001.00,5220.77,2.16,131.00,26.22%
6/22/2019,USD,1875.00,30792.00,4994.72,2.16,105.00,27.65%
6/23/2019,USD,1798.00,32452.00,4506.67,2.08,96.00,30.88%
6/24/2019,USD,1665.00,31861.00,4693.36,2.14,99.00,28.03%
6/25/2019,USD,1704.00,33993.00,4554.75,2.19,103.00,25.17%
6/26/2019,USD,1636.00,30809.00,4271.33,2.15,103.00,24.26%
6/27/2019,USD,1531.00,38582.00,4401.66,1.93,115.00,24.65%
6/28/2019,USD,1676.00,45507.00,4559.96,1.88,104.00,23.72%
6/29/2019,USD,1926.00,56496.00,4914.59,1.74,86.00,26.55%
6/30/2019,USD,2221.00,97169.00,4982.05,1.38,140.00,30.99%
7/1/2019,USD,1934.00,64001.00,4867.46,1.60,104.00,26.43%
7/2/2019,USD,1665.00,42354.00,4537.81,1.92,94.00,24.17%
7/3/2019,USD,1715.00,48955.00,4577.61,1.81,104.00,24.69%
7/4/2019,USD,1976.00,52110.00,4061.48,1.67,61.00,26.09%
7/5/2019,USD,1914.00,50102.00,5268.97,1.82,106.00,22.70%
7/6/2019,USD,1938.00,48012.00,5359.75,1.82,80.00,24.15%
7/7/2019,USD,1973.00,47188.00,5235.68,1.79,113.00,24.81%
7/8/2019,USD,2058.00,65846.00,5742.67,1.65,115.00,25.87%
7/9/2019,USD,2297.00,130831.00,5190.86,1.24,143.00,24.88%
7/10/2019,USD,2107.00,138906.00,4615.23,1.20,79.00,20.71%
7/11/2019,USD,2043.00,111317.00,5759.89,1.27,119.00,22.96%
7/12/2019,USD,1944.00,103681.00,5171.71,1.29,89.00,21.88%
7/13/2019,USD,2152.00,130357.00,4760.59,1.19,111.00,21.59%
7/14/2019,USD,2266.00,122396.00,4986.07,1.20,82.00,22.11%
7/15/2019,USD,1595.00,60877.00,4285.57,1.42,102.00,20.32%
7/16/2019,USD,2465.00,147777.00,4817.76,1.19,102.00,20.84%
7/17/2019,USD,1087.00,44369.00,2870.16,1.51,84.00,16.92%
7/18/2019,USD,2029.00,150627.00,2420.96,1.16,97.00,16.49%
7/19/2019,USD,1364.00,99123.00,2201.52,1.21,74.00,14.87%
7/20/2019,USD,1490.00,91129.00,2088.80,1.23,59.00,16.30%
7/21/2019,USD,1543.00,97678.00,2258.01,1.19,82.00,15.70%
7/22/2019,USD,1501.00,96855.00,2393.46,1.20,91.00,15.93%
7/23/2019,USD,1494.00,119642.00,2746.37,1.21,73.00,16.15%
7/24/2019,USD,1606.00,131365.00,2848.61,1.20,69.00,16.00%
7/25/2019,USD,1588.00,126536.00,2793.37,1.17,86.00,14.99%
7/26/2019,USD,1634.00,182823.00,3089.16,1.13,83.00,15.47%
7/27/2019,USD,1637.00,155564.00,2888.80,1.14,85.00,15.17%
7/28/2019,USD,1609.00,148461.00,2659.02,1.15,80.00,17.42%
7/29/2019,USD,1290.00,99830.00,2409.30,1.20,92.00,16.50%
7/30/2019,USD,1603.00,120299.00,2015.00,1.15,59.00,16.71%
7/31/2019,USD,1398.00,60788.00,2294.11,1.27,85.00,17.05%
8/1/2019,USD,1377.00,57795.00,2124.34,1.26,76.00,15.76%
8/2/2019,USD,1868.00,95279.00,3318.90,1.24,108.00,18.33%
8/3/2019,USD,2172.00,95884.00,3942.45,1.30,102.00,21.67%
8/4/2019,USD,1948.00,64521.00,3503.06,1.38,138.00,21.57%
8/5/2019,USD,1720.00,77203.00,3615.70,1.39,101.00,21.62%
8/6/2019,USD,2117.00,82350.00,4262.30,1.40,89.00,21.96%
8/7/2019,USD,1988.00,72544.00,4641.76,1.55,75.00,23.81%
8/8/2019,USD,1392.00,59638.00,2892.48,1.41,104.00,18.56%
8/9/2019,USD,2012.00,102310.00,3767.73,1.27,121.00,16.72%
8/10/2019,USD,1598.00,84022.00,3331.58,1.28,97.00,14.70%
8/11/2019,USD,1684.00,69585.00,3308.68,1.32,117.00,16.81%
8/12/2019,USD,1657.00,89127.00,3245.15,1.29,100.00,16.91%
8/13/2019,USD,1802.00,82971.00,3418.65,1.36,99.00,17.27%
8/14/2019,USD,1704.00,87175.00,3508.36,1.31,91.00,16.10%
8/15/2019,USD,1713.00,88989.00,3453.62,1.32,100.00,15.93%
8/16/2019,USD,1660.00,71197.00,3331.69,1.37,86.00,15.87%
8/17/2019,USD,1766.00,81800.00,3192.93,1.34,94.00,16.77%
8/18/2019,USD,1566.00,67642.00,3156.33,1.37,64.00,16.73%
8/19/2019,USD,1811.00,80907.00,3130.80,1.31,95.00,16.43%
8/20/2019,USD,1406.00,48306.00,3731.55,1.56,61.00,16.05%
8/21/2019,USD,2381.00,98557.00,3967.48,1.34,121.00,19.72%
8/22/2019,USD,2402.00,93516.00,5246.04,1.44,106.00,22.60%
8/23/2019,USD,2332.00,95912.00,5486.55,1.46,101.00,22.12%
8/24/2019,USD,2137.00,94464.00,4781.57,1.37,118.00,20.25%
